報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
岡山県,35,1.25,1,0.04,11,0.39,7,0.25,12,0.43,3,0.11,1,0.04
広島県,82,1.55,4,0.1,30,0.54,11,0.2,11,0.2,14,0.25,12,0.21
山口県,38,0.95,0,0,8,0.2,11,0.28,7,0.18,8,0.2,4,0.1
徳島県,18,0.86,1,0.05,6,0.29,1,0.05,7,0.33,1,0.05,2,0.1
香川県,14,1.08,2,0.15,2,0.15,2,0.15,2,0.15,3,0.23,3,0.23
愛媛県,43,2.39,4,0.31,15,0.75,1,0.05,6,0.3,7,0.35,10,0.5
高知県,16,0.8,0,0,6,0.3,1,0.05,4,0.2,5,0.25,0,0
福岡県,219,3.13,41,0.59,58,0.82,37,0.53,29,0.41,32,0.46,22,0.31
佐賀県,15,1.36,2,0.2,6,0.5,1,0.08,4,0.33,2,0.17,0,0
長崎県,59,1.97,14,0.47,20,0.65,3,0.1,10,0.32,6,0.19,6,0.19
熊本県,126,2.63,13,0.27,26,0.54,23,0.48,28,0.58,23,0.48,13,0.27
大分県,126,3.5,30,0.83,22,0.61,28,0.78,13,0.36,14,0.39,19,0.53
宮崎県,40,2.86,5,0.42,11,0.73,4,0.27,7,0.47,6,0.4,7,0.47
鹿児島県,94,3.03,15,0.48,25,0.81,14,0.45,19,0.61,7,0.23,14,0.45
沖縄県,125,5,25,1,22,0.88,7,0.28,25,1,24,0.96,22,0.88
,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,674,0.3,68,0.03,82,0.04,100,0.04,149,0.06,139,0.06,136,0.06
北海道,26,0.27,4,0.05,4,0.04,1,0.01,9,0.09,4,0.04,4,0.04
青森県,4,0.12,0,0,0,0,0,0,0,0,4,0.12,0,0
岩手県,2,0.07,0,0,0,0,0,0,2,0.07,0,0,0,0
宮城県,3,0.1,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0
秋田県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
山形県,7,0.28,0,0,0,0,3,0.12,2,0.08,1,0.04,1,0.04
福島県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
茨城県,7,0.2,6,0.21,0,0,1,0.03,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,43,0.42,4,0.06,6,0.05,9,0.08,8,0.07,11,0.1,5,0.05
千葉県,9,0.08,1,0.01,1,0.01,4,0.04,0,0,2,0.02,1,0.01
東京都,40,0.16,3,0.02,13,0.05,7,0.03,5,0.02,5,0.02,7,0.03
神奈川県,14,0.11,1,0.01,2,0.01,2,0.01,2,0.01,5,0.04,2,0.01
新潟県,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0
富山県,2,0.07,0,0,2,0.07,0,0,0,0,0,0,0,0
石川県,7,0.25,0,0,2,0.07,0,0,0,0,2,0.07,3,0.11
福井県,112,4.48,2,0.08,6,0.24,19,0.76,21,0.84,37,1.48,27,1.08
山梨県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05
長野県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
岐阜県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
静岡県,13,0.15,1,0.01,1,0.01,1,0.01,4,0.04,4,0.04,2,0.02
愛知県,6,0.06,1,0.01,0,0,1,0.01,2,0.02,0,0,2,0.02
三重県,4,0.1,0,0,0,0,0,0,0,0,1,0.02,3,0.07
滋賀県,5,0.15,0,0,2,0.06,3,0.09,0,0,0,0,0,0
京都府,6,0.16,1,0.03,1,0.03,0,0,0,0,0,0,4,0.1
大阪府,47,0.25,3,0.02,5,0.03,9,0.05,10,0.05,6,0.03,14,0.08
兵庫県,15,0.15,1,0.01,3,0.03,4,0.04,1,0.01,4,0.04,2,0.02
奈良県,2,0.1,0,0,1,0.04,0,0,1,0.04,0,0,0,0
和歌山県,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0
鳥取県,4,0.21,0,0,0,0,3,0.16,0,0,0,0,1,0.05
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,52,1.86,1,0.04,1,0.04,7,0.25,14,0.5,17,0.61,12,0.43
広島県,7,0.13,1,0.03,2,0.04,1,0.02,1,0.02,1,0.02,1,0.02
山口県,6,0.15,1,0.03,3,0.08,1,0.03,0,0,1,0.03,0,0
徳島県,6,0.29,0,0,6,0.29,0,0,0,0,0,0,0,0
香川県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.05,0,0,0,0,0,0,0,0,1,0.05,0,0
福岡県,53,0.76,15,0.21,3,0.04,4,0.06,9,0.13,9,0.13,13,0.19
佐賀県,7,0.64,0,0,1,0.08,1,0.08,3,0.25,0,0,2,0.17
長崎県,43,1.43,7,0.23,1,0.03,7,0.23,18,0.58,3,0.1,7,0.23
熊本県,76,1.58,3,0.06,7,0.15,6,0.13,27,0.56,16,0.33,17,0.35
大分県,10,0.28,3,0.08,5,0.14,0,0,2,0.06,0,0,0,0
宮崎県,8,0.57,0,0,1,0.07,0,0,4,0.27,1,0.07,2,0.13
鹿児島県,5,0.16,1,0.03,0,0,2,0.06,0,0,1,0.03,1,0.03
沖縄県,14,0.56,8,0.32,3,0.12,0,0,1,0.04,2,0.08,0,0
,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3237,1.44,209,0.11,852,0.37,606,0.26,597,0.26,545,0.24,428,0.19
北海道,150,1.53,7,0.09,29,0.29,31,0.3,40,0.39,23,0.23,20,0.2
青森県,9,0.27,1,0.03,3,0.09,0,0,1,0.03,3,0.09,1,0.03
岩手県,131,4.85,6,0.22,31,1.15,17,0.63,24,0.89,24,0.89,29,1.07
宮城県,49,1.58,1,0.03,17,0.55,10,0.32,12,0.39,5,0.16,4,0.13
秋田県,23,1.92,0,0,9,0.69,2,0.15,7,0.54,2,0.15,3,0.23
山形県,61,2.44,6,0.3,16,0.62,7,0.27,15,0.58,12,0.46,5,0.19
福島県,13,0.46,0,0,7,0.25,1,0.04,1,0.04,0,0,4,0.14
茨城県,6,0.17,2,0.07,0,0,3,0.08,0,0,1,0.03,0,0
栃木県,17,0.68,1,0.06,4,0.15,0,0,1,0.04,7,0.26,4,0.15
群馬県,13,0.57,0,0,4,0.16,3,0.12,3,0.12,0,0,3,0.12
埼玉県,53,0.51,3,0.04,12,0.11,6,0.05,16,0.14,8,0.07,8,0.07
千葉県,84,0.78,1,0.01,21,0.19,25,0.23,15,0.14,15,0.14,7,0.06
東京都,77,0.31,10,0.05,19,0.07,13,0.05,10,0.04,11,0.04,14,0.05
神奈川県,71,0.54,2,0.02,20,0.14,9,0.06,9,0.06,16,0.11,15,0.11
新潟県,113,3.77,8,0.27,38,1.27,28,0.93,22,0.73,11,0.37,6,0.2
富山県,24,0.86,3,0.13,5,0.17,5,0.17,2,0.07,5,0.17,4,0.14
石川県,14,0.5,2,0.07,3,0.11,2,0.07,2,0.07,1,0.04,4,0.14
福井県,33,1.32,2,0.08,8,0.32,6,0.24,5,0.2,10,0.4,2,0.08
山梨県,33,1.57,1,0.05,6,0.29,6,0.29,8,0.38,10,0.48,2,0.1
長野県,21,0.78,2,0.09,4,0.14,3,0.11,4,0.14,5,0.18,3,0.11
岐阜県,32,1.23,2,0.08,9,0.33,5,0.19,7,0.26,6,0.22,3,0.11
静岡県,118,1.33,2,0.02,18,0.2,19,0.21,36,0.4,23,0.26,20,0.22
愛知県,150,1.49,3,0.03,44,0.44,30,0.3,33,0.33,25,0.25,15,0.15
三重県,40,1,2,0.07,13,0.3,8,0.19,7,0.16,3,0.07,7,0.17
滋賀県,17,0.52,1,0.04,6,0.17,3,0.09,4,0.11,1,0.03,2,0.06
京都府,29,0.76,0,0,9,0.23,6,0.15,3,0.08,7,0.18,4,0.1
大阪府,120,0.65,10,0.05,29,0.16,18,0.1,16,0.09,29,0.16,18,0.1
兵庫県,124,1.23,3,0.04,34,0.32,23,0.22,20,0.19,22,0.21,22,0.21
奈良県,19,0.9,1,0.11,3,0.13,5,0.22,2,0.08,6,0.25,2,0.08
和歌山県,32,1.23,0,0,11,0.41,6,0.22,8,0.3,5,0.19,2,0.07
鳥取県,22,1.16,1,0.05,9,0.47,3,0.16,2,0.11,2,0.11,5,0.26
島根県,10,0.91,1,0.09,2,0.18,0,0,1,0.09,3,0.27,3,0.27
岡山県,101,3.61,8,0.29,28,1,28,1,13,0.46,18,0.64,6,0.21
広島県,59,1.11,3,0.08,20,0.36,12,0.21,8,0.14,10,0.18,6,0.11
山口県,206,5.15,13,0.33,53,1.33,35,0.88,35,0.88,41,1.03,29,0.73
徳島県,64,3.05,1,0.05,21,1,13,0.62,14,0.67,6,0.29,9,0.43
香川県,42,3.23,6,0.46,12,0.92,8,0.62,7,0.54,2,0.15,7,0.54
愛媛県,97,5.39,11,0.85,28,1.4,19,0.95,15,0.75,10,0.5,14,0.7
高知県,63,3.15,6,0.3,9,0.45,10,0.5,16,0.8,12,0.6,10,0.5
福岡県,65,0.93,5,0.07,18,0.25,13,0.19,8,0.11,11,0.16,10,0.14
佐賀県,40,3.64,0,0,16,1.33,10,0.83,4,0.33,5,0.42,5,0.42
長崎県,97,3.23,12,0.4,26,0.84,18,0.58,17,0.55,17,0.55,7,0.23
熊本県,278,5.79,32,0.67,69,1.44,62,1.29,47,0.98,36,0.75,32,0.67
大分県,73,2.03,6,0.17,15,0.42,18,0.5,9,0.25,12,0.33,13,0.36
宮崎県,89,6.36,8,0.67,21,1.4,24,1.6,8,0.53,16,1.07,12,0.8
鹿児島県,229,7.39,11,0.35,64,2.06,32,1.03,56,1.81,42,1.35,24,0.77
沖縄県,26,1.04,3,0.12,9,0.36,1,0.04,4,0.16,6,0.24,3,0.12
,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2876,1.28,140,0.07,583,0.25,554,0.24,560,0.24,557,0.24,482,0.21
北海道,63,0.64,4,0.05,13,0.13,14,0.14,12,0.12,7,0.07,13,0.13
青森県,42,1.27,2,0.06,8,0.24,9,0.26,6,0.18,14,0.41,3,0.09
岩手県,56,2.07,3,0.11,16,0.59,2,0.07,11,0.41,12,0.44,12,0.44
宮城県,35,1.13,0,0,9,0.29,5,0.16,5,0.16,10,0.32,6,0.19
秋田県,13,1.08,1,0.08,1,0.08,3,0.23,4,0.31,3,0.23,1,0.08
山形県,54,2.16,2,0.1,14,0.54,11,0.42,7,0.27,10,0.38,10,0.38
福島県,56,2,5,0.18,11,0.39,7,0.25,16,0.57,9,0.32,8,0.29
茨城県,42,1.2,4,0.14,8,0.22,7,0.19,6,0.16,10,0.27,7,0.19
栃木県,44,1.76,3,0.17,7,0.26,6,0.22,7,0.26,12,0.44,9,0.33
群馬県,57,2.48,2,0.13,9,0.36,10,0.4,10,0.4,10,0.4,16,0.64
埼玉県,151,1.47,11,0.16,33,0.3,29,0.26,30,0.27,29,0.26,19,0.17
千葉県,112,1.04,3,0.03,22,0.2,28,0.25,15,0.14,16,0.14,28,0.25
東京都,320,1.28,10,0.05,73,0.28,68,0.26,66,0.25,62,0.24,41,0.16
神奈川県,125,0.95,3,0.03,27,0.19,20,0.14,25,0.18,22,0.15,28,0.2
新潟県,28,0.93,0,0,10,0.33,3,0.1,9,0.3,3,0.1,3,0.1
富山県,40,1.43,2,0.08,9,0.31,7,0.24,11,0.38,4,0.14,7,0.24
石川県,26,0.93,0,0,7,0.25,5,0.18,2,0.07,7,0.25,5,0.18
福井県,20,0.8,0,0,3,0.12,2,0.08,5,0.2,6,0.24,4,0.16
山梨県,15,0.71,1,0.05,5,0.24,1,0.05,0,0,6,0.29,2,0.1
長野県,22,0.81,2,0.09,6,0.21,4,0.14,1,0.04,5,0.18,4,0.14
岐阜県,27,1.04,2,0.08,1,0.04,4,0.15,5,0.19,7,0.26,8,0.3
静岡県,103,1.16,4,0.04,24,0.27,22,0.25,14,0.16,24,0.27,15,0.17
愛知県,109,1.08,4,0.04,16,0.16,26,0.26,25,0.25,16,0.16,22,0.22
三重県,41,1.03,4,0.14,9,0.21,6,0.14,8,0.19,9,0.21,5,0.12
滋賀県,17,0.52,1,0.04,2,0.06,2,0.06,5,0.14,7,0.2,0,0
京都府,42,1.11,2,0.06,13,0.33,8,0.2,5,0.13,13,0.33,1,0.03
大阪府,210,1.14,4,0.02,48,0.26,53,0.29,34,0.18,36,0.19,35,0.19
兵庫県,126,1.25,3,0.04,32,0.3,26,0.25,29,0.28,17,0.16,19,0.18
奈良県,45,2.14,3,0.33,2,0.09,11,0.48,12,0.5,8,0.33,9,0.38
和歌山県,36,1.38,1,0.04,6,0.22,9,0.33,6,0.22,8,0.3,6,0.22
鳥取県,19,1,1,0.05,4,0.21,6,0.32,0,0,5,0.26,3,0.16
島根県,40,3.64,4,0.36,3,0.27,14,1.27,9,0.82,5,0.45,5,0.45
岡山県,44,1.57,2,0.07,5,0.18,1,0.04,16,0.57,12,0.43,8,0.29
広島県,30,0.57,2,0.05,8,0.14,7,0.13,4,0.07,4,0.07,5,0.09
山口県,62,1.55,3,0.08,9,0.23,9,0.23,14,0.35,11,0.28,16,0.4
徳島県,34,1.62,1,0.05,7,0.33,5,0.24,6,0.29,6,0.29,9,0.43
香川県,11,0.85,1,0.08,6,0.46,2,0.15,0,0,1,0.08,1,0.08
愛媛県,43,2.39,3,0.23,8,0.4,7,0.35,11,0.55,7,0.35,7,0.35
高知県,16,0.8,1,0.05,5,0.25,3,0.15,1,0.05,3,0.15,3,0.15
福岡県,121,1.73,11,0.16,24,0.34,23,0.33,26,0.37,25,0.36,12,0.17
佐賀県,33,3,1,0.1,6,0.5,9,0.75,5,0.42,6,0.5,6,0.5
長崎県,34,1.13,0,0,7,0.23,6,0.19,9,0.29,9,0.29,3,0.1
熊本県,118,2.46,4,0.08,21,0.44,21,0.44,26,0.54,19,0.4,27,0.56
大分県,80,2.22,8,0.22,9,0.25,16,0.44,17,0.47,15,0.42,15,0.42
宮崎県,36,2.57,3,0.25,6,0.4,8,0.53,8,0.53,6,0.4,5,0.33
鹿児島県,50,1.61,3,0.1,5,0.16,8,0.26,12,0.39,16,0.52,6,0.19
沖縄県,28,1.12,6,0.24,6,0.24,1,0.04,5,0.2,5,0.2,5,0.2
,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,200,0.09,18,0.01,36,0.02,45,0.02,37,0.02,34,0.01,30,0.01
北海道,4,0.04,0,0,0,0,1,0.01,0,0,1,0.01,2,0.02
青森県,2,0.06,0,0,1,0.03,1,0.03,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
秋田県,3,0.25,0,0,1,0.08,0,0,2,0.15,0,0,0,0
山形県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
福島県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
茨城県,4,0.11,2,0.07,0,0,1,0.03,0,0,0,0,1,0.03
栃木県,5,0.2,0,0,2,0.07,2,0.07,0,0,0,0,1,0.04
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,14,0.14,1,0.01,1,0.01,4,0.04,1,0.01,4,0.04,3,0.03
千葉県,8,0.07,0,0,3,0.03,2,0.02,1,0.01,1,0.01,1,0.01
東京都,15,0.06,2,0.01,2,0.01,3,0.01,2,0.01,3,0.01,3,0.01
神奈川県,2,0.02,0,0,0,0,2,0.01,0,0,0,0,0,0
新潟県,2,0.07,0,0,0,0,1,0.03,0,0,0,0,1,0.03
富山県,9,0.32,0,0,2,0.07,2,0.07,2,0.07,1,0.03,2,0.07
石川県,5,0.18,0,0,1,0.04,0,0,0,0,3,0.11,1,0.04
福井県,14,0.56,0,0,1,0.04,4,0.16,7,0.28,1,0.04,1,0.04
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
岐阜県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
静岡県,2,0.02,0,0,1,0.01,0,0,0,0,1,0.01,0,0
愛知県,3,0.03,0,0,0,0,1,0.01,0,0,1,0.01,1,0.01
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,20,0.11,0,0,5,0.03,3,0.02,3,0.02,5,0.03,4,0.02
兵庫県,8,0.08,0,0,2,0.02,2,0.02,1,0.01,2,0.02,1,0.01
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0
島根県,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0
岡山県,8,0.29,0,0,2,0.07,3,0.11,1,0.04,1,0.04,1,0.04
広島県,2,0.04,0,0,1,0.02,1,0.02,0,0,0,0,0,0
山口県,2,0.05,1,0.03,0,0,0,0,1,0.03,0,0,0,0
徳島県,2,0.1,0,0,1,0.05,1,0.05,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0
福岡県,21,0.3,5,0.07,2,0.03,3,0.04,7,0.1,3,0.04,1,0.01
佐賀県,3,0.27,0,0,0,0,0,0,2,0.17,0,0,1,0.08
長崎県,6,0.2,0,0,3,0.1,0,0,2,0.06,0,0,1,0.03
熊本県,16,0.33,1,0.02,1,0.02,3,0.06,3,0.06,6,0.13,2,0.04
大分県,2,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,2,0.06,1,0.03,1,0.03,0,0,0,0,0,0,0,0
沖縄県,7,0.28,2,0.08,0,0,3,0.12,1,0.04,0,0,1,0.04
,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,352,0.16,22,0.01,65,0.03,54,0.02,70,0.03,69,0.03,72,0.03
北海道,4,0.04,0,0,2,0.02,0,0,0,0,1,0.01,1,0.01
青森県,3,0.09,0,0,1,0.03,0,0,2,0.06,0,0,0,0
岩手県,2,0.07,0,0,0,0,0,0,1,0.04,1,0.04,0,0
宮城県,6,0.19,0,0,1,0.03,0,0,0,0,1,0.03,4,0.13
秋田県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0
山形県,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,0,0
福島県,6,0.21,0,0,2,0.07,2,0.07,1,0.04,1,0.04,0,0
茨城県,4,0.11,1,0.03,0,0,1,0.03,0,0,1,0.03,1,0.03
栃木県,4,0.16,0,0,1,0.04,0,0,0,0,1,0.04,2,0.07
群馬県,6,0.26,1,0.07,1,0.04,1,0.04,2,0.08,0,0,1,0.04
埼玉県,34,0.33,2,0.03,2,0.02,4,0.04,8,0.07,6,0.05,12,0.11
千葉県,22,0.2,0,0,3,0.03,5,0.05,4,0.04,5,0.05,5,0.05
東京都,41,0.16,1,0.01,9,0.03,9,0.03,11,0.04,4,0.02,7,0.03
神奈川県,33,0.25,1,0.01,6,0.04,6,0.04,5,0.04,10,0.07,5,0.04
新潟県,8,0.27,0,0,1,0.03,0,0,1,0.03,4,0.13,2,0.07
富山県,3,0.11,0,0,2,0.07,0,0,0,0,1,0.03,0,0
石川県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
福井県,2,0.08,0,0,0,0,1,0.04,1,0.04,0,0,0,0
山梨県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0
長野県,4,0.15,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0
岐阜県,3,0.12,0,0,0,0,0,0,0,0,2,0.07,1,0.04
静岡県,9,0.1,2,0.02,1,0.01,0,0,2,0.02,1,0.01,3,0.03
愛知県,8,0.08,0,0,1,0.01,0,0,1,0.01,2,0.02,4,0.04
三重県,1,0.03,1,0.04,0,0,0,0,0,0,0,0,0,0
滋賀県,4,0.12,1,0.04,1,0.03,0,0,1,0.03,0,0,1,0.03
京都府,9,0.24,0,0,3,0.08,1,0.03,1,0.03,2,0.05,2,0.05
大阪府,29,0.16,5,0.03,2,0.01,5,0.03,8,0.04,3,0.02,6,0.03
兵庫県,19,0.19,0,0,4,0.04,4,0.04,4,0.04,4,0.04,3,0.03
奈良県,1,0.05,0,0,0,0,1,0.04,0,0,0,0,0,0
和歌山県,5,0.19,1,0.04,1,0.04,0,0,1,0.04,2,0.07,0,0
鳥取県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0
島根県,2,0.18,0,0,0,0,0,0,0,0,0,0,2,0.18
岡山県,8,0.29,3,0.11,0,0,2,0.07,2,0.07,1,0.04,0,0
広島県,8,0.15,1,0.03,1,0.02,0,0,3,0.05,3,0.05,0,0
山口県,8,0.2,1,0.03,2,0.05,1,0.03,2,0.05,0,0,2,0.05
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,1,0.06,0,0,0,0,0,0,0,0,1,0.05,0,0
高知県,3,0.15,0,0,1,0.05,0,0,0,0,2,0.1,0,0
福岡県,9,0.13,0,0,5,0.07,1,0.01,1,0.01,1,0.01,1,0.01
佐賀県,1,0.09,0,0,0,0,0,0,0,0,0,0,1,0.08
長崎県,2,0.07,0,0,1,0.03,0,0,0,0,1,0.03,0,0
熊本県,11,0.23,0,0,3,0.06,3,0.06,2,0.04,2,0.04,1,0.02
大分県,13,0.36,0,0,2,0.06,4,0.11,4,0.11,1,0.03,2,0.06
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,5,0.16,0,0,1,0.03,1,0.03,0,0,1,0.03,2,0.06
沖縄県,5,0.2,0,0,1,0.04,1,0.04,0,0,2,0.08,1,0.04
,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,35,0.05,3,0.01,7,0.01,11,0.02,8,0.01,1,0,5,0.01
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
秋田県,2,0.33,0,0,0,0,1,0.14,1,0.14,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,6,0.16,1,0.08,2,0.05,1,0.02,1,0.02,0,0,1,0.02
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,2,0.06,0,0,1,0.03,0,0,0,0,1,0.03,0,0
神奈川県,3,0.07,0,0,0,0,3,0.06,0,0,0,0,0,0
新潟県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0
三重県,1,0.09,0,0,0,0,1,0.08,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,1,0.06,0,0,0,0,0,0
大阪府,2,0.04,0,0,0,0,0,0,2,0.04,0,0,0,0
兵庫県,3,0.09,0,0,0,0,0,0,1,0.03,0,0,2,0.06
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.25,0,0,0,0,1,0.2,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,7,0.27,0,0,1,0.04,1,0.04,3,0.12,0,0,2,0.08
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,2,0.29,0,0,1,0.13,1,0.13,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1715,2.58,68,0.13,453,0.65,303,0.44,310,0.45,277,0.4,304,0.44
北海道,20,0.74,4,0.2,4,0.14,2,0.07,5,0.17,3,0.1,2,0.07
青森県,1,0.11,0,0,0,0,0,0,1,0.1,0,0,0,0
岩手県,19,1.36,4,0.29,6,0.43,3,0.21,2,0.14,3,0.21,1,0.07
宮城県,27,2.25,0,0,9,0.75,6,0.5,2,0.17,4,0.33,6,0.5
秋田県,13,2.17,0,0,1,0.14,3,0.43,4,0.57,2,0.29,3,0.43
山形県,31,4.43,1,0.17,9,1.13,4,0.5,6,0.75,5,0.63,6,0.75
