,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
116,Viral Hepatitis - C,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
117,Viral Hepatitis - E,,1997,4,1997-04-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
118,Viral Hepatitis - Unclassified,,1997,4,1997-04-01,3,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
119,Whooping Cough,,1997,4,1997-04-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
120,Yellow Fever,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
121,Acute Poliomyelitis,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
122,Amoebic Dysentery,,1997,5,1997-05-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
123,Bacillary Dysentery,,1997,5,1997-05-01,26,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
124,Cholera,,1997,5,1997-05-01,13,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
125,Dengue Fever,,1997,5,1997-05-01,2,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
126,Diphtheria,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
127,Food Poisoning - Outbreaks,,1997,5,1997-05-01,29,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
