,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
14475,Viral hepatitis - B,,2022,8,2022-08-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14476,Viral hepatitis - C,,2022,8,2022-08-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14477,Viral hepatitis - D,,2022,8,2022-08-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14478,Viral hepatitis - E,,2022,8,2022-08-01,6,56,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14479,West Nile Virus Infection,,2022,8,2022-08-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14480,Whooping cough,,2022,8,2022-08-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14481,Yellow fever,,2022,8,2022-08-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14482,Zika Virus Infection,,2022,8,2022-08-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14483,Acute poliomyelitis,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14484,Amoebic dysentery,,2022,9,2022-09-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14485,Anthrax,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14486,Bacillary dysentery,,2022,9,2022-09-01,2,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14487,Botulism,,2022,9,2022-09-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14488,Chickenpox,,2022,9,2022-09-01,85,1002,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14489,Chikungunya fever,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14490,Cholera,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14491,Community-associated methicillin-resistant Staphylococcus aureus infection,,2022,9,2022-09-01,36,416,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14492,Coronavirus disease 2019 (COVID-19),,2022,9,2022-09-01,235224,2842862,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14493,Creutzfeldt-Jakob disease,,2022,9,2022-09-01,1,16,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14494,Dengue fever,,2022,9,2022-09-01,6,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14495,Diphtheria,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14496,Enterovirus 71 infection,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14497,Food poisoning - Outbreaks,,2022,9,2022-09-01,13,133,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14498,Haemophilus influenzae type b infection (invasive),,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14499,Hantavirus infection,,2022,9,2022-09-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14500,Invasive pneumococcal disease,,2022,9,2022-09-01,0,28,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14501,Japanese encephalitis,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14502,Legionnaires' disease,,2022,9,2022-09-01,9,80,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14503,Leprosy,,2022,9,2022-09-01,2,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14504,Leptospirosis,,2022,9,2022-09-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14505,Listeriosis,,2022,9,2022-09-01,0,17,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14506,Malaria,,2022,9,2022-09-01,2,196,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14507,Measles,,2022,9,2022-09-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14508,Melioidosis,,2022,9,2022-09-01,6,46,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14509,Meningococcal infection (invasive),,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14510,Middle East Respiratory Syndrome,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14511,Mpox (Monkeypox),,2022,9,2022-09-01,1,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14512,Mumps,,2022,9,2022-09-01,3,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14513,Novel influenza A infection - Influenza A (H5),,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14514,Novel influenza A infection - Influenza A (H7),,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14515,Novel influenza A infection - Others,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14516,Paratyphoid fever,,2022,9,2022-09-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14517,Plague,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14518,Psittacosis,,2022,9,2022-09-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14519,Q fever,,2022,9,2022-09-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14520,Rabies,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14521,Relapsing fever,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14522,Rubella and congenital rubella syndrome - Congenital rubella syndrome,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14523,Rubella and congenital rubella syndrome - Rubella,,2022,9,2022-09-01,1,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14524,Scarlet fever,,2022,9,2022-09-01,3,41,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14525,Severe Acute Respiratory Syndrome,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14526,Shiga toxin-producing Escherichia coli infection,,2022,9,2022-09-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14527,Smallpox,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14528,Streptococcus suis infection,,2022,9,2022-09-01,1,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14529,Tetanus,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14530,Tuberculosis,,2022,9,2022-09-01,250,3200,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14531,Typhoid fever,,2022,9,2022-09-01,4,15,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14532,Typhus and other rickettsial diseases - Scrub typhus,,2022,9,2022-09-01,2,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14533,Typhus and other rickettsial diseases - Spotted fever,,2022,9,2022-09-01,3,21,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14534,Typhus and other rickettsial diseases - Unclassified,,2022,9,2022-09-01,4,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14535,Typhus and other rickettsial diseases - Urban typhus,,2022,9,2022-09-01,2,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14536,Viral haemorrhagic fever,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14537,Viral hepatitis - A,,2022,9,2022-09-01,1,22,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14538,Viral hepatitis - B,,2022,9,2022-09-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14539,Viral hepatitis - C,,2022,9,2022-09-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14540,Viral hepatitis - D,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14541,Viral hepatitis - E,,2022,9,2022-09-01,3,56,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14542,West Nile Virus Infection,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14543,Whooping cough,,2022,9,2022-09-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14544,Yellow fever,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14545,Zika Virus Infection,,2022,9,2022-09-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14546,Acute poliomyelitis,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14547,Amoebic dysentery,,2022,10,2022-10-01,2,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14548,Anthrax,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14549,Bacillary dysentery,,2022,10,2022-10-01,1,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14550,Botulism,,2022,10,2022-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14551,Chickenpox,,2022,10,2022-10-01,98,1002,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14552,Chikungunya fever,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14553,Cholera,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14554,Community-associated methicillin-resistant Staphylococcus aureus infection,,2022,10,2022-10-01,31,416,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14555,Coronavirus disease 2019 (COVID-19),,2022,10,2022-10-01,156204,2842862,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14556,Creutzfeldt-Jakob disease,,2022,10,2022-10-01,1,16,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14557,Dengue fever,,2022,10,2022-10-01,7,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14558,Diphtheria,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14559,Enterovirus 71 infection,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14560,Food poisoning - Outbreaks,,2022,10,2022-10-01,17,133,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14561,Haemophilus influenzae type b infection (invasive),,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14562,Hantavirus infection,,2022,10,2022-10-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14563,Invasive pneumococcal disease,,2022,10,2022-10-01,4,28,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14564,Japanese encephalitis,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14565,Legionnaires' disease,,2022,10,2022-10-01,10,80,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14566,Leprosy,,2022,10,2022-10-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14567,Leptospirosis,,2022,10,2022-10-01,2,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14568,Listeriosis,,2022,10,2022-10-01,2,17,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14569,Malaria,,2022,10,2022-10-01,6,196,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14570,Measles,,2022,10,2022-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14571,Melioidosis,,2022,10,2022-10-01,9,46,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14572,Meningococcal infection (invasive),,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14573,Middle East Respiratory Syndrome,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14574,Mpox (Monkeypox),,2022,10,2022-10-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14575,Mumps,,2022,10,2022-10-01,3,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14576,Novel influenza A infection - Influenza A (H5),,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14577,Novel influenza A infection - Influenza A (H7),,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14578,Novel influenza A infection - Others,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14579,Paratyphoid fever,,2022,10,2022-10-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14580,Plague,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14581,Psittacosis,,2022,10,2022-10-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14582,Q fever,,2022,10,2022-10-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14583,Rabies,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14584,Relapsing fever,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14585,Rubella and congenital rubella syndrome - Congenital rubella syndrome,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14586,Rubella and congenital rubella syndrome - Rubella,,2022,10,2022-10-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14587,Scarlet fever,,2022,10,2022-10-01,4,41,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14588,Severe Acute Respiratory Syndrome,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14589,Shiga toxin-producing Escherichia coli infection,,2022,10,2022-10-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14590,Smallpox,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14591,Streptococcus suis infection,,2022,10,2022-10-01,1,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14592,Tetanus,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14593,Tuberculosis,,2022,10,2022-10-01,297,3200,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14594,Typhoid fever,,2022,10,2022-10-01,3,15,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14595,Typhus and other rickettsial diseases - Scrub typhus,,2022,10,2022-10-01,1,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14596,Typhus and other rickettsial diseases - Spotted fever,,2022,10,2022-10-01,0,21,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14597,Typhus and other rickettsial diseases - Unclassified,,2022,10,2022-10-01,0,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14598,Typhus and other rickettsial diseases - Urban typhus,,2022,10,2022-10-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14599,Viral haemorrhagic fever,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14600,Viral hepatitis - A,,2022,10,2022-10-01,2,22,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14601,Viral hepatitis - B,,2022,10,2022-10-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14602,Viral hepatitis - C,,2022,10,2022-10-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14603,Viral hepatitis - D,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14604,Viral hepatitis - E,,2022,10,2022-10-01,1,56,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14605,West Nile Virus Infection,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14606,Whooping cough,,2022,10,2022-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14607,Yellow fever,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14608,Zika Virus Infection,,2022,10,2022-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14609,Acute poliomyelitis,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14610,Amoebic dysentery,,2022,11,2022-11-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14611,Anthrax,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14612,Bacillary dysentery,,2022,11,2022-11-01,1,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14613,Botulism,,2022,11,2022-11-01,3,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14614,Chickenpox,,2022,11,2022-11-01,116,1002,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14615,Chikungunya fever,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14616,Cholera,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14617,Community-associated methicillin-resistant Staphylococcus aureus infection,,2022,11,2022-11-01,28,416,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14618,Coronavirus disease 2019 (COVID-19),,2022,11,2022-11-01,200423,2842862,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14619,Creutzfeldt-Jakob disease,,2022,11,2022-11-01,2,16,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14620,Dengue fever,,2022,11,2022-11-01,3,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14621,Diphtheria,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14622,Enterovirus 71 infection,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14623,Food poisoning - Outbreaks,,2022,11,2022-11-01,14,133,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14624,Haemophilus influenzae type b infection (invasive),,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14625,Hantavirus infection,,2022,11,2022-11-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14626,Invasive pneumococcal disease,,2022,11,2022-11-01,1,28,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14627,Japanese encephalitis,,2022,11,2022-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14628,Legionnaires' disease,,2022,11,2022-11-01,2,80,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14629,Leprosy,,2022,11,2022-11-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14630,Leptospirosis,,2022,11,2022-11-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14631,Listeriosis,,2022,11,2022-11-01,0,17,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14632,Malaria,,2022,11,2022-11-01,6,196,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
14633,Measles,,2022,11,2022-11-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2022en.csv
