報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2026年07週(02月09日～02月15日),2026年02月18日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5646,2.5,494,0.25,1311,0.57,715,0.31,960,0.42,712,0.31,771,0.33,683,0.3
北海道,404,4.12,38,0.46,89,0.88,52,0.51,63,0.62,49,0.48,60,0.59,53,0.52
青森県,78,2.36,3,0.09,25,0.74,6,0.18,10,0.29,8,0.24,20,0.59,6,0.18
岩手県,125,4.63,12,0.44,62,2.3,12,0.44,18,0.67,11,0.41,8,0.3,2,0.07
宮城県,61,1.97,5,0.16,22,0.71,6,0.19,12,0.39,3,0.1,4,0.13,9,0.29
秋田県,64,5.33,8,0.67,21,1.62,5,0.38,10,0.77,5,0.38,6,0.46,9,0.69
山形県,117,4.68,8,0.4,14,0.54,12,0.46,13,0.5,21,0.81,21,0.81,28,1.08
福島県,106,3.79,11,0.39,22,0.79,14,0.5,18,0.64,17,0.61,12,0.43,12,0.43
茨城県,104,2.97,21,0.72,24,0.65,9,0.24,15,0.41,10,0.27,10,0.27,15,0.41
栃木県,74,2.96,4,0.22,19,0.7,10,0.37,8,0.3,11,0.41,5,0.19,17,0.63
群馬県,79,3.43,4,0.27,12,0.48,10,0.4,18,0.72,8,0.32,13,0.52,14,0.56
埼玉県,313,3.01,41,0.6,65,0.59,46,0.41,48,0.43,41,0.37,32,0.29,40,0.36
千葉県,230,2.13,9,0.1,41,0.37,30,0.27,37,0.33,42,0.38,46,0.41,25,0.23
東京都,534,2.12,31,0.17,125,0.47,72,0.27,96,0.37,69,0.26,77,0.29,64,0.24
神奈川県,320,2.41,19,0.22,77,0.55,48,0.34,57,0.4,39,0.27,46,0.33,34,0.24
新潟県,87,2.9,4,0.13,17,0.57,12,0.4,14,0.47,14,0.47,16,0.53,10,0.33
富山県,60,2.14,2,0.08,27,0.93,4,0.14,8,0.28,11,0.38,6,0.21,2,0.07
石川県,102,3.64,4,0.14,15,0.54,7,0.25,20,0.71,18,0.64,20,0.71,18,0.64
福井県,102,4.08,3,0.12,18,0.72,12,0.48,38,1.52,10,0.4,15,0.6,6,0.24
山梨県,7,0.33,0,0,0,0,0,0,1,0.05,2,0.1,3,0.14,1,0.05
長野県,58,2.15,8,0.35,13,0.46,9,0.32,13,0.46,4,0.14,8,0.29,3,0.11
岐阜県,20,0.77,3,0.12,1,0.04,1,0.04,3,0.11,5,0.19,2,0.07,5,0.19
静岡県,109,1.22,14,0.16,24,0.27,16,0.18,19,0.21,11,0.12,13,0.15,12,0.13
愛知県,104,1.03,15,0.15,21,0.21,22,0.22,17,0.17,9,0.09,9,0.09,11,0.11
三重県,58,1.45,6,0.21,11,0.26,10,0.23,6,0.14,6,0.14,10,0.24,9,0.21
滋賀県,133,4.03,8,0.33,30,0.86,15,0.43,22,0.63,14,0.4,23,0.66,21,0.6
京都府,165,4.23,11,0.31,35,0.88,23,0.58,30,0.75,13,0.33,28,0.7,25,0.63
大阪府,454,2.45,27,0.15,110,0.59,46,0.25,87,0.47,57,0.31,74,0.4,53,0.29
兵庫県,250,2.45,9,0.11,67,0.64,30,0.29,53,0.5,30,0.29,26,0.25,35,0.33
奈良県,38,1.81,0,0,11,0.48,6,0.26,6,0.25,4,0.17,8,0.33,3,0.13
和歌山県,25,0.96,1,0.04,3,0.11,4,0.15,2,0.07,8,0.3,3,0.11,4,0.15
鳥取県,30,1.58,3,0.16,7,0.37,6,0.32,1,0.05,2,0.11,2,0.11,9,0.47
島根県,61,5.55,5,0.45,15,1.36,9,0.82,13,1.18,5,0.45,9,0.82,5,0.45
岡山県,36,1.29,1,0.04,11,0.39,7,0.25,12,0.43,3,0.11,1,0.04,1,0.04
広島県,97,1.83,4,0.1,30,0.54,11,0.2,11,0.2,14,0.25,12,0.21,15,0.27
山口県,40,1,0,0,8,0.2,11,0.28,7,0.18,8,0.2,4,0.1,2,0.05
徳島県,21,1,1,0.05,6,0.29,1,0.05,7,0.33,1,0.05,2,0.1,3,0.14
香川県,15,1.15,2,0.15,2,0.15,2,0.15,2,0.15,3,0.23,3,0.23,1,0.08
愛媛県,46,2.42,4,0.31,15,0.75,1,0.05,6,0.3,7,0.35,10,0.5,3,0.15
高知県,20,1,0,0,6,0.3,1,0.05,4,0.2,5,0.25,0,0,4,0.2
福岡県,247,3.53,41,0.59,58,0.82,37,0.53,29,0.41,32,0.46,23,0.33,27,0.39
佐賀県,18,1.64,2,0.2,6,0.5,1,0.08,4,0.33,2,0.17,0,0,3,0.25
長崎県,72,2.4,14,0.47,20,0.65,3,0.1,10,0.32,6,0.19,6,0.19,13,0.42
熊本県,135,2.81,13,0.27,26,0.54,23,0.48,28,0.58,23,0.48,13,0.27,9,0.19
大分県,142,3.94,30,0.83,22,0.61,28,0.78,13,0.36,14,0.39,19,0.53,16,0.44
宮崎県,40,2.86,5,0.42,11,0.73,4,0.27,7,0.47,6,0.4,7,0.47,0,0
鹿児島県,104,3.35,15,0.48,25,0.81,14,0.45,19,0.61,7,0.23,14,0.45,10,0.32
沖縄県,141,5.64,25,1,22,0.88,7,0.28,25,1,24,0.96,22,0.88,16,0.64
,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,812,0.36,68,0.03,82,0.04,100,0.04,149,0.06,139,0.06,136,0.06,138,0.06
北海道,29,0.3,4,0.05,4,0.04,1,0.01,9,0.09,4,0.04,4,0.04,3,0.03
青森県,4,0.12,0,0,0,0,0,0,0,0,4,0.12,0,0,0,0
岩手県,2,0.07,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0
宮城県,3,0.1,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0
秋田県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
山形県,7,0.28,0,0,0,0,3,0.12,2,0.08,1,0.04,1,0.04,0,0
福島県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
茨城県,7,0.2,6,0.21,0,0,1,0.03,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,48,0.46,4,0.06,6,0.05,9,0.08,8,0.07,11,0.1,5,0.05,5,0.05
千葉県,10,0.09,1,0.01,1,0.01,4,0.04,0,0,2,0.02,1,0.01,1,0.01
東京都,47,0.19,3,0.02,13,0.05,7,0.03,5,0.02,5,0.02,7,0.03,7,0.03
神奈川県,18,0.14,1,0.01,2,0.01,2,0.01,2,0.01,5,0.04,2,0.01,4,0.03
新潟県,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0
富山県,2,0.07,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0
石川県,12,0.43,0,0,2,0.07,0,0,0,0,2,0.07,3,0.11,5,0.18
福井県,139,5.56,2,0.08,6,0.24,19,0.76,21,0.84,37,1.48,27,1.08,27,1.08
山梨県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
長野県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
岐阜県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
静岡県,23,0.26,1,0.01,1,0.01,1,0.01,4,0.04,4,0.04,2,0.02,10,0.11
愛知県,8,0.08,1,0.01,0,0,1,0.01,2,0.02,0,0,2,0.02,2,0.02
三重県,5,0.13,0,0,0,0,0,0,0,0,1,0.02,3,0.07,1,0.02
滋賀県,5,0.15,0,0,2,0.06,3,0.09,0,0,0,0,0,0,0,0
京都府,6,0.15,1,0.03,1,0.03,0,0,0,0,0,0,4,0.1,0,0
大阪府,50,0.27,3,0.02,5,0.03,9,0.05,10,0.05,6,0.03,14,0.08,3,0.02
兵庫県,18,0.18,1,0.01,3,0.03,4,0.04,1,0.01,4,0.04,2,0.02,3,0.03
奈良県,3,0.14,0,0,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04
和歌山県,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
鳥取県,7,0.37,0,0,0,0,3,0.16,0,0,0,0,1,0.05,3,0.16
島根県,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09
岡山県,66,2.36,1,0.04,1,0.04,7,0.25,14,0.5,17,0.61,12,0.43,14,0.5
広島県,9,0.17,1,0.03,2,0.04,1,0.02,1,0.02,1,0.02,1,0.02,2,0.04
山口県,6,0.15,1,0.03,3,0.08,1,0.03,0,0,1,0.03,0,0,0,0
徳島県,6,0.29,0,0,6,0.29,0,0,0,0,0,0,0,0,0,0
香川県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.05,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0
福岡県,68,0.97,15,0.21,3,0.04,4,0.06,9,0.13,9,0.13,13,0.19,15,0.21
佐賀県,10,0.91,0,0,1,0.08,1,0.08,3,0.25,0,0,2,0.17,3,0.25
長崎県,50,1.67,7,0.23,1,0.03,7,0.23,18,0.58,3,0.1,7,0.23,7,0.23
熊本県,92,1.92,3,0.06,7,0.15,6,0.13,27,0.56,16,0.33,17,0.35,16,0.33
大分県,10,0.28,3,0.08,5,0.14,0,0,2,0.06,0,0,0,0,0,0
宮崎県,9,0.64,0,0,1,0.07,0,0,4,0.27,1,0.07,2,0.13,1,0.07
鹿児島県,5,0.16,1,0.03,0,0,2,0.06,0,0,1,0.03,1,0.03,0,0
沖縄県,18,0.72,8,0.32,3,0.12,0,0,1,0.04,2,0.08,0,0,4,0.16
,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3559,1.58,209,0.11,853,0.37,606,0.26,597,0.26,546,0.24,428,0.19,320,0.14
北海道,165,1.68,7,0.09,29,0.29,31,0.3,40,0.39,23,0.23,20,0.2,15,0.15
青森県,11,0.33,1,0.03,3,0.09,0,0,1,0.03,3,0.09,1,0.03,2,0.06
岩手県,156,5.78,6,0.22,31,1.15,17,0.63,24,0.89,24,0.89,29,1.07,25,0.93
宮城県,54,1.74,1,0.03,17,0.55,10,0.32,12,0.39,5,0.16,4,0.13,5,0.16
秋田県,24,2,0,0,9,0.69,2,0.15,7,0.54,2,0.15,3,0.23,1,0.08
山形県,63,2.52,6,0.3,16,0.62,7,0.27,15,0.58,12,0.46,5,0.19,2,0.08
福島県,15,0.54,0,0,7,0.25,1,0.04,1,0.04,0,0,4,0.14,2,0.07
茨城県,13,0.37,2,0.07,0,0,3,0.08,0,0,1,0.03,0,0,7,0.19
栃木県,21,0.84,1,0.06,4,0.15,0,0,1,0.04,7,0.26,4,0.15,4,0.15
群馬県,16,0.7,0,0,4,0.16,3,0.12,3,0.12,0,0,3,0.12,3,0.12
埼玉県,61,0.59,3,0.04,12,0.11,6,0.05,16,0.14,8,0.07,8,0.07,8,0.07
千葉県,88,0.81,1,0.01,21,0.19,25,0.23,15,0.14,15,0.14,7,0.06,4,0.04
東京都,91,0.36,10,0.05,19,0.07,13,0.05,10,0.04,11,0.04,14,0.05,14,0.05
神奈川県,76,0.57,2,0.02,20,0.14,9,0.06,9,0.06,16,0.11,15,0.11,5,0.04
新潟県,120,4,8,0.27,38,1.27,28,0.93,22,0.73,11,0.37,6,0.2,7,0.23
富山県,25,0.89,3,0.13,5,0.17,5,0.17,2,0.07,5,0.17,4,0.14,1,0.03
石川県,17,0.61,2,0.07,3,0.11,2,0.07,2,0.07,1,0.04,4,0.14,3,0.11
福井県,36,1.44,2,0.08,8,0.32,6,0.24,5,0.2,10,0.4,2,0.08,3,0.12
山梨県,35,1.67,1,0.05,6,0.29,6,0.29,8,0.38,10,0.48,2,0.1,2,0.1
長野県,23,0.85,2,0.09,4,0.14,3,0.11,4,0.14,5,0.18,3,0.11,2,0.07
岐阜県,35,1.35,2,0.08,9,0.33,5,0.19,7,0.26,6,0.22,3,0.11,3,0.11
静岡県,144,1.62,2,0.02,18,0.2,19,0.21,36,0.4,23,0.26,20,0.22,26,0.29
愛知県,160,1.58,3,0.03,44,0.44,30,0.3,33,0.33,25,0.25,15,0.15,10,0.1
三重県,42,1.05,2,0.07,13,0.3,8,0.19,7,0.16,3,0.07,7,0.17,2,0.05
滋賀県,20,0.61,1,0.04,6,0.17,3,0.09,4,0.11,1,0.03,2,0.06,3,0.09
京都府,32,0.82,0,0,10,0.25,6,0.15,3,0.08,8,0.2,4,0.1,1,0.03
大阪府,135,0.73,10,0.05,29,0.16,18,0.1,16,0.09,29,0.16,18,0.1,15,0.08
兵庫県,137,1.34,3,0.04,34,0.32,23,0.22,20,0.19,22,0.21,22,0.21,13,0.12
奈良県,19,0.9,1,0.11,3,0.13,5,0.22,2,0.08,6,0.25,2,0.08,0,0
和歌山県,33,1.27,0,0,11,0.41,6,0.22,8,0.3,5,0.19,2,0.07,1,0.04
鳥取県,25,1.32,1,0.05,9,0.47,3,0.16,2,0.11,2,0.11,5,0.26,3,0.16
島根県,10,0.91,1,0.09,2,0.18,0,0,1,0.09,3,0.27,3,0.27,0,0
岡山県,105,3.75,8,0.29,28,1,28,1,13,0.46,18,0.64,6,0.21,4,0.14
広島県,63,1.19,3,0.08,20,0.36,12,0.21,8,0.14,10,0.18,6,0.11,4,0.07
山口県,218,5.45,13,0.33,53,1.33,35,0.88,35,0.88,41,1.03,29,0.73,12,0.3
徳島県,68,3.24,1,0.05,21,1,13,0.62,14,0.67,6,0.29,9,0.43,4,0.19
香川県,48,3.69,6,0.46,12,0.92,8,0.62,7,0.54,2,0.15,7,0.54,6,0.46
愛媛県,105,5.53,11,0.85,28,1.4,19,0.95,15,0.75,10,0.5,14,0.7,8,0.4
高知県,72,3.6,6,0.3,9,0.45,10,0.5,16,0.8,12,0.6,10,0.5,9,0.45
福岡県,75,1.07,5,0.07,18,0.25,13,0.19,8,0.11,11,0.16,10,0.14,10,0.14
佐賀県,42,3.82,0,0,16,1.33,10,0.83,4,0.33,5,0.42,5,0.42,2,0.17
長崎県,108,3.6,12,0.4,26,0.84,18,0.58,17,0.55,17,0.55,7,0.23,11,0.35
熊本県,299,6.23,32,0.67,69,1.44,62,1.29,47,0.98,36,0.75,32,0.67,21,0.44
大分県,90,2.5,6,0.17,15,0.42,18,0.5,9,0.25,12,0.33,13,0.36,17,0.47
宮崎県,95,6.79,8,0.67,21,1.4,24,1.6,8,0.53,16,1.07,12,0.8,6,0.4
鹿児島県,241,7.77,11,0.35,64,2.06,32,1.03,56,1.81,42,1.35,24,0.77,12,0.39
沖縄県,28,1.12,3,0.12,9,0.36,1,0.04,4,0.16,6,0.24,3,0.12,2,0.08
,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3285,1.46,140,0.07,583,0.25,554,0.24,560,0.24,557,0.24,482,0.21,409,0.18
北海道,76,0.78,4,0.05,13,0.13,14,0.14,12,0.12,7,0.07,13,0.13,13,0.13
青森県,49,1.48,2,0.06,8,0.24,9,0.26,6,0.18,14,0.41,3,0.09,7,0.21
岩手県,68,2.52,3,0.11,16,0.59,2,0.07,11,0.41,12,0.44,12,0.44,12,0.44
宮城県,38,1.23,0,0,9,0.29,5,0.16,5,0.16,10,0.32,6,0.19,3,0.1
秋田県,14,1.17,1,0.08,1,0.08,3,0.23,4,0.31,3,0.23,1,0.08,1,0.08
山形県,60,2.4,2,0.1,14,0.54,11,0.42,7,0.27,10,0.38,10,0.38,6,0.23
福島県,63,2.25,5,0.18,11,0.39,7,0.25,16,0.57,9,0.32,8,0.29,7,0.25
茨城県,46,1.31,4,0.14,8,0.22,7,0.19,6,0.16,10,0.27,7,0.19,4,0.11
栃木県,52,2.08,3,0.17,7,0.26,6,0.22,7,0.26,12,0.44,9,0.33,8,0.3
群馬県,72,3.13,2,0.13,9,0.36,10,0.4,10,0.4,10,0.4,16,0.64,15,0.6
埼玉県,172,1.65,11,0.16,33,0.3,29,0.26,30,0.27,29,0.26,19,0.17,21,0.19
千葉県,124,1.15,3,0.03,22,0.2,28,0.25,15,0.14,16,0.14,28,0.25,12,0.11
東京都,374,1.48,10,0.05,73,0.28,68,0.26,66,0.25,62,0.24,41,0.16,54,0.21
神奈川県,143,1.08,3,0.03,27,0.19,20,0.14,25,0.18,22,0.15,28,0.2,18,0.13
新潟県,33,1.1,0,0,10,0.33,3,0.1,9,0.3,3,0.1,3,0.1,5,0.17
富山県,50,1.79,2,0.08,9,0.31,7,0.24,11,0.38,4,0.14,7,0.24,10,0.34
石川県,32,1.14,0,0,7,0.25,5,0.18,2,0.07,7,0.25,5,0.18,6,0.21
福井県,25,1,0,0,3,0.12,2,0.08,5,0.2,6,0.24,4,0.16,5,0.2
山梨県,18,0.86,1,0.05,5,0.24,1,0.05,0,0,6,0.29,2,0.1,3,0.14
長野県,29,1.07,2,0.09,6,0.21,4,0.14,1,0.04,5,0.18,4,0.14,7,0.25
岐阜県,28,1.08,2,0.08,1,0.04,4,0.15,5,0.19,7,0.26,8,0.3,1,0.04
静岡県,118,1.33,4,0.04,24,0.27,22,0.25,14,0.16,24,0.27,15,0.17,15,0.17
愛知県,126,1.25,4,0.04,16,0.16,26,0.26,25,0.25,16,0.16,22,0.22,17,0.17
三重県,44,1.1,4,0.14,9,0.21,6,0.14,8,0.19,9,0.21,5,0.12,3,0.07
滋賀県,22,0.67,1,0.04,2,0.06,2,0.06,5,0.14,7,0.2,0,0,5,0.14
京都府,48,1.23,2,0.06,13,0.33,8,0.2,5,0.13,13,0.33,1,0.03,6,0.15
大阪府,227,1.23,4,0.02,48,0.26,53,0.29,34,0.18,36,0.19,35,0.19,17,0.09
兵庫県,139,1.36,3,0.04,32,0.3,26,0.25,29,0.28,17,0.16,19,0.18,13,0.12
奈良県,47,2.24,3,0.33,2,0.09,11,0.48,12,0.5,8,0.33,9,0.38,2,0.08
和歌山県,38,1.46,1,0.04,6,0.22,9,0.33,6,0.22,8,0.3,6,0.22,2,0.07
鳥取県,22,1.16,1,0.05,4,0.21,6,0.32,0,0,5,0.26,3,0.16,3,0.16
島根県,46,4.18,4,0.36,3,0.27,14,1.27,9,0.82,5,0.45,5,0.45,6,0.55
岡山県,49,1.75,2,0.07,5,0.18,1,0.04,16,0.57,12,0.43,8,0.29,5,0.18
広島県,37,0.7,2,0.05,8,0.14,7,0.13,4,0.07,4,0.07,5,0.09,7,0.13
山口県,71,1.78,3,0.08,9,0.23,9,0.23,14,0.35,11,0.28,16,0.4,9,0.23
徳島県,38,1.81,1,0.05,7,0.33,5,0.24,6,0.29,6,0.29,9,0.43,4,0.19
香川県,13,1,1,0.08,6,0.46,2,0.15,0,0,1,0.08,1,0.08,2,0.15
愛媛県,46,2.42,3,0.23,8,0.4,7,0.35,11,0.55,7,0.35,7,0.35,3,0.15
高知県,18,0.9,1,0.05,5,0.25,3,0.15,1,0.05,3,0.15,3,0.15,2,0.1
福岡県,137,1.96,11,0.16,24,0.34,23,0.33,26,0.37,25,0.36,12,0.17,16,0.23
佐賀県,36,3.27,1,0.1,6,0.5,9,0.75,5,0.42,6,0.5,6,0.5,3,0.25
長崎県,40,1.33,0,0,7,0.23,6,0.19,9,0.29,9,0.29,3,0.1,6,0.19
熊本県,138,2.88,4,0.08,21,0.44,21,0.44,26,0.54,19,0.4,27,0.56,20,0.42
大分県,90,2.5,8,0.22,9,0.25,16,0.44,17,0.47,15,0.42,15,0.42,10,0.28
宮崎県,41,2.93,3,0.25,6,0.4,8,0.53,8,0.53,6,0.4,5,0.33,5,0.33
鹿児島県,56,1.81,3,0.1,5,0.16,8,0.26,12,0.39,16,0.52,6,0.19,6,0.19
沖縄県,32,1.28,6,0.24,6,0.24,1,0.04,5,0.2,5,0.2,5,0.2,4,0.16
,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,233,0.1,18,0.01,36,0.02,45,0.02,37,0.02,34,0.01,30,0.01,33,0.01
北海道,5,0.05,0,0,0,0,1,0.01,0,0,1,0.01,2,0.02,1,0.01
青森県,5,0.15,0,0,1,0.03,1,0.03,0,0,0,0,0,0,3,0.09
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
秋田県,3,0.25,0,0,1,0.08,0,0,2,0.15,0,0,0,0,0,0
山形県,2,0.08,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04
福島県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
茨城県,4,0.11,2,0.07,0,0,1,0.03,0,0,0,0,1,0.03,0,0
栃木県,5,0.2,0,0,2,0.07,2,0.07,0,0,0,0,1,0.04,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,15,0.14,1,0.01,1,0.01,4,0.04,1,0.01,4,0.04,3,0.03,1,0.01
千葉県,8,0.07,0,0,3,0.03,2,0.02,1,0.01,1,0.01,1,0.01,0,0
東京都,17,0.07,2,0.01,2,0.01,3,0.01,2,0.01,3,0.01,3,0.01,2,0.01
神奈川県,3,0.02,0,0,0,0,2,0.01,0,0,0,0,0,0,1,0.01
新潟県,2,0.07,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0
富山県,10,0.36,0,0,2,0.07,2,0.07,2,0.07,1,0.03,2,0.07,1,0.03
石川県,8,0.29,0,0,1,0.04,0,0,0,0,3,0.11,1,0.04,3,0.11
福井県,17,0.68,0,0,1,0.04,4,0.16,7,0.28,1,0.04,1,0.04,3,0.12
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,2,0.07,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04
岐阜県,2,0.08,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
静岡県,2,0.02,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0
愛知県,3,0.03,0,0,0,0,1,0.01,0,0,1,0.01,1,0.01,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,23,0.12,0,0,5,0.03,3,0.02,3,0.02,5,0.03,4,0.02,3,0.02
兵庫県,11,0.11,0,0,2,0.02,2,0.02,1,0.01,2,0.02,1,0.01,3,0.03
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0
島根県,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0
岡山県,10,0.36,0,0,2,0.07,3,0.11,1,0.04,1,0.04,1,0.04,2,0.07
広島県,2,0.04,0,0,1,0.02,1,0.02,0,0,0,0,0,0,0,0
山口県,2,0.05,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
徳島県,2,0.1,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,2,0.1,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05
福岡県,22,0.31,5,0.07,2,0.03,3,0.04,7,0.1,3,0.04,1,0.01,1,0.01
佐賀県,3,0.27,0,0,0,0,0,0,2,0.17,0,0,1,0.08,0,0
長崎県,6,0.2,0,0,3,0.1,0,0,2,0.06,0,0,1,0.03,0,0
熊本県,17,0.35,1,0.02,1,0.02,3,0.06,3,0.06,6,0.13,2,0.04,1,0.02
大分県,5,0.14,2,0.06,0,0,0,0,0,0,0,0,0,0,3,0.08
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,2,0.06,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0
沖縄県,8,0.32,2,0.08,0,0,3,0.12,1,0.04,0,0,1,0.04,1,0.04
,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,396,0.18,22,0.01,65,0.03,54,0.02,70,0.03,69,0.03,72,0.03,44,0.02
北海道,6,0.06,0,0,2,0.02,0,0,0,0,1,0.01,1,0.01,2,0.02
青森県,3,0.09,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0
岩手県,2,0.07,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0
宮城県,6,0.19,0,0,1,0.03,0,0,0,0,1,0.03,4,0.13,0,0
秋田県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
山形県,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0
福島県,6,0.21,0,0,2,0.07,2,0.07,1,0.04,1,0.04,0,0,0,0
茨城県,5,0.14,1,0.03,0,0,1,0.03,0,0,1,0.03,1,0.03,1,0.03
栃木県,4,0.16,0,0,1,0.04,0,0,0,0,1,0.04,2,0.07,0,0
群馬県,6,0.26,1,0.07,1,0.04,1,0.04,2,0.08,0,0,1,0.04,0,0
埼玉県,38,0.37,2,0.03,2,0.02,4,0.04,8,0.07,6,0.05,12,0.11,4,0.04
千葉県,26,0.24,0,0,3,0.03,5,0.05,4,0.04,5,0.05,5,0.05,4,0.04
東京都,46,0.18,1,0.01,9,0.03,9,0.03,11,0.04,4,0.02,7,0.03,5,0.02
神奈川県,36,0.27,1,0.01,6,0.04,6,0.04,5,0.04,10,0.07,5,0.04,3,0.02
新潟県,10,0.33,0,0,1,0.03,0,0,1,0.03,4,0.13,2,0.07,2,0.07
富山県,4,0.14,0,0,2,0.07,0,0,0,0,1,0.03,0,0,1,0.03
石川県,2,0.07,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04
福井県,3,0.12,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04
山梨県,2,0.1,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05
長野県,5,0.19,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0,1,0.04
岐阜県,3,0.12,0,0,0,0,0,0,0,0,2,0.07,1,0.04,0,0
静岡県,10,0.11,2,0.02,1,0.01,0,0,2,0.02,1,0.01,3,0.03,1,0.01
愛知県,10,0.1,0,0,1,0.01,0,0,1,0.01,2,0.02,4,0.04,2,0.02
三重県,1,0.03,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,4,0.12,1,0.04,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0
