,Disease,DiseaseCode,DiseaseGroup,Year,Month,Date,Cases,LocalCases,ImportedCases,Source,SourceURL
168,성홍열,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
169,세균성이질,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
170,수두,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
171,수막구균 감염증,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
172,신종인플루엔자,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
173,신증후군출혈열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
174,야토병,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
175,에볼라바이러스병,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
176,웨스트나일열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
177,유비저,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
178,유행성이하선염,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
179,일본뇌염,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
180,장출혈성대장균감염증,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
181,장티푸스,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
182,중동호흡기증후군(MERS),,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
183,중증급성호흡기증후군(SARS),,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
184,중증열성혈소판감소증후군(SFTS),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
185,지카바이러스감염증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
186,진드기매개뇌염,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
187,쯔쯔가무시증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
188,치쿤구니야열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
189,카바페넴내성장내세균목(CRE) 감염증,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
190,콜레라,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
191,큐열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
192,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
193,크리미안콩고출혈열,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
194,탄저,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
195,파라티푸스,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
196,파상풍,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
197,페스트,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
198,폐렴구균 감염증,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
199,폴리오,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
200,풍진(선천성),,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
201,풍진(후천성),,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
202,한센병,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
203,홍역,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
204,황열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
