"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2025",,,,,,"Data collected as of April 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,8039,119.99,1535,35.7,100,2.33,1541,35.84,5192,120.74,52,1.21,29,0.67,109,2.53,135,3.14,4,0.09,9,0.21,-,-,82,9.11,1,0.11,3,0.33,50,5.56,-,-,25,2.78,3706,55.31
Tokushima,6025,162.84,356,15.48,62,2.7,213,9.26,1795,78.04,30,1.3,53,2.3,37,1.61,60,2.61,3,0.13,-,-,8,2.67,3,1,3,0.43,-,-,16,2.29,-,-,6,0.86,3145,85
Kagawa,6607,140.57,310,11.07,94,3.36,594,21.21,4088,146,37,1.32,17,0.61,23,0.82,79,2.82,5,0.18,13,0.46,5,1,19,3.8,2,0.5,2,0.5,23,5.75,-,-,2,0.5,2933,62.4
Ehime,8262,142.45,774,22.76,215,6.32,1495,43.97,5738,168.76,29,0.85,23,0.68,80,2.35,122,3.59,-,-,16,0.47,1,0.14,267,38.14,1,0.17,-,-,45,7.5,-,-,21,3.5,4345,74.91
Kochi,7608,172.91,196,7.84,47,1.88,690,27.6,1504,60.16,36,1.44,36,1.44,251,10.04,57,2.28,1,0.04,5,0.2,-,-,11,3.67,1,0.13,3,0.38,74,9.25,-,-,5,0.63,3467,78.8
Fukuoka,24988,126.84,2614,21.97,624,5.24,5182,43.55,14976,125.85,575,4.83,127,1.07,450,3.78,402,3.38,11,0.09,41,0.34,14,0.54,121,4.65,2,0.13,5,0.33,118,7.87,-,-,32,2.13,11596,58.86
Saga,6143,161.66,403,18.32,125,5.68,727,33.05,2654,120.64,64,2.91,37,1.68,104,4.73,111,5.05,8,0.36,5,0.23,-,-,6,2,2,0.33,5,0.83,42,7,-,-,14,2.33,2988,78.63
Nagasaki,10904,158.03,495,11.51,206,4.79,1623,37.74,4005,93.14,138,3.21,44,1.02,133,3.09,121,2.81,4,0.09,16,0.37,36,4.5,148,18.5,4,0.33,4,0.33,71,5.92,-,-,22,1.83,5206,75.45
Kumamoto,12171,154.06,782,15.96,131,2.67,1464,29.88,7784,158.86,138,2.82,93,1.9,155,3.16,258,5.27,18,0.37,12,0.24,3,0.33,117,13,1,0.07,4,0.27,57,3.8,-,-,13,0.87,5051,63.94
Oita,8003,137.98,633,17.58,195,5.42,1643,45.64,7768,215.78,122,3.39,67,1.86,80,2.22,198,5.5,10,0.28,21,0.58,-,-,57,11.4,2,0.18,2,0.18,28,2.55,-,-,17,1.55,3968,68.41
Miyazaki,9227,161.88,529,15.11,207,5.91,1110,31.71,5153,147.23,91,2.6,44,1.26,221,6.31,162,4.63,7,0.2,12,0.34,-,-,41,8.2,1,0.14,-,-,27,3.86,-,-,11,1.57,3107,54.51
Kagoshima,11501,130.69,925,18.5,542,10.84,1646,32.92,7242,144.84,169,3.38,94,1.88,107,2.14,153,3.06,7,0.14,10,0.2,1,0.14,107,15.29,1,0.08,-,-,55,4.58,-,-,-,-,3619,41.13
Okinawa,10900,194.64,101,3.16,68,2.13,895,27.97,1321,41.28,299,9.34,55,1.72,183,5.72,85,2.66,4,0.13,19,0.59,6,0.67,625,69.44,3,0.43,7,1,16,2.29,-,-,3,0.43,1077,19.23
